"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"제일2차아파트 1지구",공공용,전라북도 익산시 고봉로 24길 30,전라북도 익산시 영등동 767-8,35.955313,126.9719158,1824,2210,Y,,,익산시청,2020-09-18
"신일아파트",공공용,전라북도 익산시 약촌로 192,전라북도 익산시 영등동 714-1,35.95068286,126.9742185,10076,12213,Y,,,익산시청,2020-09-18
"라인1차아파트",공공용,전라북도 익산시 고봉로 16길 11,전라북도 익산시 영등동 255,35.94791299,126.9689126,4909,5950,Y,,,익산시청,2020-09-18
"라인2차아파트",공공용,전라북도 익산시 고봉로 16길 12,전라북도 익산시 영등동 254-50,35.9474193184,126.9690408831,5316,6443,Y,,,익산시청,2020-09-18
"제일2차아파트 2지구",공공용,전라북도 익산시 고봉로 24길 18,전라북도 익산시 영등동 763,35.95464062,126.9720668,7134,8647,Y,,,익산시청,2020-09-18
"제일3차아파트",공공용,전라북도 익산시 고봉로34길 35,전라북도 익산시 영등동 821,35.96034046,126.9738074,3597,4360,Y,,,익산시청,2020-09-18
"산업도로지하도",공공용,전라북도 익산시 무왕로 1053,전라북도 익산시 영등동 833-2,35.9590886,126.9741273367,357,432,Y,,,익산시청,2020-09-18
"제일4차아파트",공공용,전라북도 익산시 무왕로9길 60,전라북도 익산시 영등동 810,35.96339383,126.9736557,4879,5913,Y,,,익산시청,2020-09-18
"우남그랜드타운",공공용,전라북도 익산시 하나로13길26,전라북도 익산시 영등동 822,35.96152041,126.9796336,3375,4090,Y,,,익산시청,2020-09-18
"부영3차아파트",공공용,전라북도 익산시 하나로483-60,전라북도 익산시 영등동 815,35.96353901,126.9786221,17831,21613,Y,,,익산시청,2020-09-18
"장신휴먼시아3단지",공공용,전라북도 익산시 오산면 선화로4길 12,전라북도 익산시 오산면 장신리 1126,35.95039678,126.9334162,4338,5258,Y,,,익산시청,2020-09-18
"장신휴먼시아2단지",공공용,전라북도 익산시 오산면 선화로4길 24-9,전라북도 익산시 오산면 장신리 1126,35.94898317,126.9325794,2760,3345,Y,,,익산시청,2020-09-18
"장신휴먼시아1단지",공공용,전라북도 익산시 오산면 선화로4길 42-3,전라북도 익산시 오산면 장신리 1130,35.94746897,126.9323679,4365,5290,Y,,,익산시청,2020-09-18
"제이파크아파트",공공용,전라북도 익산시 서동로 31,전라북도 익산시 인화동2가 54,35.9310302594,126.956424,4030,4884,Y,,,익산시청,2020-09-18
"익산타운장례문화원",공공용,전라북도 익산시 서동로 11,전라북도 익산시 인화동2가 100,35.9287112,126.9559053201,1074,1301,Y,,,익산시청,2020-09-18
SK빌딩,공공용,전라북도 익산시 익산대로 16길 39,전라북도 익산시 창인동 1가 175-6,35.9400173862,126.9517425763,3147,3814,Y,,,익산시청,2020-09-18
ABL생명,공공용,전라북도 익산시 익산대로16길 43,전라북도 익산시 창인동 1가 175-17,35.9399264035,126.952081,787,953,Y,,,익산시청,2020-09-18
"삼성생명",공공용,전라북도 익산시 인북로 108,전라북도 익산시 갈산동 195-2,35.9385083561,126.9535987883,833,1009,Y,,,익산시청,2020-09-18
"한스빌아파트",공공용,전라북도 익산시 목천로 30-14,전라북도 익산시 목천동 1376-1,35.9155888658,126.934028,3691,4473,Y,,,익산시청,2020-09-18
"원주아파트",공공용,전라북도 익산시 목천로 48,전라북도 익산시 목천동 396-1,35.918291,126.934271,2500,3030,Y,,,익산시청,2020-09-18
"신일고층 아파트",공공용,전라북도 익산시 함열읍 함열중앙로 76-7,전라북도 익산시 함열읍 와리 207-6,36.0768721587,126.9650307922,598,724,Y,,,익산시청,2020-09-18
"북부청사",공공용,전라북도 익산시 함열읍 함열중앙로 83,전라북도 익산시 함열읍 와리 220-6,36.0781674635,126.9662119055,605,733,Y,,,익산시청,2020-09-18
"제일 아파트",공공용,전라북도 익산시 함열읍 함열5길 19-21,전라북도 익산시 함열읍 와리 163,36.07465316,126.9623174,1823,2209,Y,,,익산시청,2020-09-18
"장미 아파트",공공용,전라북도 익산시 함열읍 함열9길 36,전라북도 익산시 함열읍 와리 211-2,36.07727474,126.9650516,658,797,Y,,,익산시청,2020-09-18
