"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"허가민원과 지하1층",공공용,강원도 횡성군 횡성읍 태기로19번길 9,강원도 횡성군 횡성읍 58번지 9호,37.4920085120,127.985806,1071,1298,Y,주차장,033-340-2691,횡성읍사무소,2020-12-22
"횡성군청 지하",공공용,강원도 횡성군 횡성읍 태기로 15,강원도 횡성군 횡성읍 58번지 1호,37.4920676327,127.9851513102,1189,1441,Y,식당,033-340-2691,횡성읍사무소,2020-12-22
"금광포란재아파트 지하주차장",공공용,강원도 횡성군 횡성읍 읍하로25번길 17,강원도 횡성군 횡성읍 500번지,37.4951860245,127.9842065736,4392,5324,Y,주차장,033-345-8211,관리사무소,2020-12-22
"이안횡성아파트지하주차장",공공용,강원도 횡성군 횡성읍 읍마북로 3,강원도 횡성군 횡성읍 609번지,37.4906862248,127.9947459103,4534,5495,Y,주차장,033-342-1191,관리사무소,2020-12-22
"석미모닝파크아파트 지하주차장",공공용,강원도 횡성군 횡성읍 어사매로 68,강원도 횡성군 횡성읍 607번지,37.49182481,127.9955872,3729,4520,Y,주차장,033-342-6711,관리사무소,2020-12-22
"대동아파트 지하주차장",공공용,강원도 횡성군 횡성읍 삼일로 50,강원도 횡성군 횡성읍 518번지,37.49420744,127.9869436,4591,5565,Y,주차장,033-344-2454,관리사무소,2020-12-22
"보람더하임아파트 지하주차장",공공용,강원도 횡성군 횡성읍 교항북로 17,강원도 횡성군 횡성읍 109번지,37.4864574104,127.9820184330,1239,1502,Y,주차장,033-345-1611,관리사무소,2020-12-22
"골드클래스아파트 지하주차장",공공용,강원도 횡성군 횡성읍 읍마북로 13,강원도 횡성군 횡성읍 608번지,37.4904917931,127.9955696532,6414,7775,Y,주차장,033-343-7703,관리사무소,2020-12-22
