"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"고령군청지하대피시설",공공용,경상북도 고령군 대가야읍 왕릉로 55,경상북도 고령군 대가야읍 지산리190,35.7251122432,128.2626861998,2000,1500,Y,체력단련실 등,054-950-6443,고령군청 군민안전과,2020-07-01
"문화누리관 지하대피시설",공공용,경상북도 고령군 대가야읍 왕릉로 30,경상북도 고령군 대가야읍 지산리 308,35.7235759020,128.2630951767,2500,1500,Y,공연장 등,054-950-6443,고령군청 군민안전과,2020-07-01
"고령교육지원청 대피시설",공공용,경상북도 고령군 대가야읍 가야금길 34,경상북도 고령군 대가야읍 쾌빈리 106,35.7418748848,128.2715598549,198,132,Y,탁구장,054-950-6443,고령군청 군민안전과,2020-07-01
