"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"영양군청",공공용,경상북도 영양군 영양읍 군청길 37,경상북도 영양군 영양읍 서부리 379-1,36.667181,129.112367,2016,2444,Y,민방위대피시설 및 상황실,054-680-6671,경상북도 영양군청,2020-06-30
"영양군문화체육센터",공공용,경상북도 영양군 영양읍 군민회관길 50,경상북도 영양군 영양읍 서부리 141-1,36.65988981,129.117481,149,181,Y,민방위대피시설 및 창고,054-680-6671,경상북도 영양군청,2020-06-30
"영양읍행정복지센터",공공용,경상북도 영양군 영양읍 군청길 53,경상북도 영양군 영양읍 동부리 550-10,36.6670685251,129.114262,111,135,Y,민방위대피시설 및 창고,054-680-6671,경상북도 영양군청,2020-06-30
"영양객주",공공용,경상북도 영양군 영양읍 시장3길 11,경상북도 영양군 영양읍 서부리 292-4,36.66390009,129.115498,111,135,Y,민방위대피시설 및 창고,054-680-6671,경상북도 영양군청,2020-06-30
"영양교육지원청 지하대피소",공공용,경상북도 영양군 영양읍 영양창수로 83,경상북도 영양군 영양읍 동부리 96,36.662956,129.122754,278,337,Y,민방위대피시설 및 창고,054-680-2200,경상북도 영양교육지원청,2020-06-30
