"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"세교3단지아파트",공공용,경기도 오산시 수청로220,,37.1782452467,127.0430815386,21790,26412,Y,주차장,,세교3단지아파트,2021-08-04
"세교4단지아파트",공공용,경기도 오산시 수청로 221,,37.1760872825,127.0429069016,16868,20446,Y,주차장,,세교4단지아파트,2021-08-04
"세교5단지아파트",공공용,경기도 오산시 여계산로60,,37.1765878321,127.0466852201,21337,25863,Y,주차장,,세교5단지아파트,2021-08-04
"세교6단지아파트",공공용,경기도 오산시 여계산로7,,37.1706171205,127.0446990534,47284,57313,Y,주차장,,세교6단지아파트,2021-08-04
"세교7단지아파트",공공용,경기도 오산시 여계산로8,,37.1708190734,127.0458101688,11086,13437,Y,주차장,,세교7단지아파트,2021-08-04
"세교8단지아파트",공공용,경기도 오산시 수청로166,,37.1796739821,127.0461331890,14364,17410,Y,주차장,,세교8단지아파트,2021-08-04
"세교9단지아파트",공공용,경기도 오산시 수청로165,,37.1776480732,127.0474432694,20237,24529,Y,주차장,,세교9단지아파트,2021-08-04
"세교10단지아파트",공공용,경기도 오산시 수청로142,,37.1805088808,127.0501704836,19493,23627,Y,주차장,,세교10단지아파트,2021-08-04
"세교11단지아파트",공공용,경기도 오산시 수청로121,,37.1772167458,127.0519370197,13183,15979,Y,주차장,,세교11단지아파트,2021-08-04
"세교12단지아파트",공공용,경기도 오산시 수청로 107,,37.1757297804,127.0518311671,9968,12082,Y,주차장,,세교12단지아파트,2021-08-04
"세교13단지아파트",공공용,경기도 오산시 수목원로 430,,37.1715794126,127.0544747303,28642,34717,Y,주차장,,세교13단지아파트,2021-08-04
"세교쌍용예가아파트",공공용,경기도 오산시 내삼미로110,,37.1728648632,127.0663123005,19679,23853,Y,주차장,,세교쌍용예가아파트,2021-08-04
"호반베르디움아파트",공공용,경기도 오산시 내삼미로142,,37.1752255779,127.0662428603,32473,39361,Y,주차장,,호반베르디움아파트,2021-08-04
"세교16단지 아파트",공공용,경기도 오산시 내삼미로109,,37.1729178923,127.0650898455,11062,13408,Y,주차장,,세교16단지 아파트,2021-08-04
"신동아아파트",공공용,경기도 오산시 초평로35,,37.1450272463,127.0427421232,4409,5344,Y,주차장,,신동아아파트,2021-08-04
"한라그린타운아파트",공공용,경기도 오산시 누읍로17,,37.1421726124,127.0483303219,20509,24859,Y,주차장,,한라그린타운아파트,2021-08-04
"신동아2차아파트",공공용,경기도 오산시 초평로84-4,,37.1431111054,127.0440705578,23650,28666,Y,주차장,,신동아2차아파트,2021-08-04
"늘푸른오스카빌",공공용,경기도 오산시 가수로33,,37.1472226726,127.0472681339,8256,10007,Y,주차장,,늘푸른오스카빌,2021-08-04
"누읍동휴먼시아아파트",공공용,경기도 오산시 누읍로20,,37.1400115046,127.0517535519,15754,19095,Y,주차장,,누읍동휴먼시아아파트,2021-08-04
"세교2지구LH12단지행복주택",공공용,경기도 오산시 가수행복로55-5,,37.1464233274,127.0580509813,15298,18543,Y,주차장,,세교2지구LH12단지행복주택,2021-08-04
"늘푸른오스카빌아파트",공공용,경기도 오산시 양산로398번길58-5,,37.1895747206,127.0317386367,5253,6367,Y,주차장,,늘푸른오스카빌아파트,2021-08-04
"효성아파트",공공용,경기도 오산시 양산로422,,37.1973135125,127.0313662333,13734,16647,Y,주차장,,효성아파트,2021-08-04
"세마e편한세상아파트",공공용,경기도 오산시 양산로460,,37.1973987853,127.0332277020,74669,90507,Y,주차장,,세마e편한세상아파트,2021-08-04
"잔다리마을2단지휴먼시아아파트",공공용,경기도 오산시 수목원로577-15,,37.1821594299,127.0418219214,20364,24683,Y,주차장,,잔다리마을2단지휴먼시아아파트,2021-08-04
"잔다리1단지휴먼시아아파트",공공용,경기도 오산시 수목원로615,,37.1837520944,127.0411621918,25011,30316,Y,주차장,,잔다리1단지휴먼시아아파트,2021-08-04
"지곶동-e편한세상",공공용,경기도 오산시 세마문학로50,,37.1684339671,127.0258856199,62547,75815,Y,주차장,,지곶동-e편한세상,2021-08-04
